"Data";"Descrição";"Valor";"Conta";"Categoria"
"17/06/2025";"WWW-CASASBAHIA-COM-BR (10/10)";"-247.76";"BRB";"Casa"
"09/09/2025";"PG *AFYA PARTICIP (8/12)";"-212.35";"BRB";"Educação"
"29/10/2025";"IG*MYPROFIT (6/12)";"-17.90";"BRB";"Serviços"
"20/12/2025";"LOJA 18 STAR (4/6)";"-150";"BRB";"Vestuário"
"20/12/2025";"LOJA 18 STAR (4/6)";"-200";"BRB";"Vestuário"
"19/02/2026";"PECA RARA NW (2/2)";"-335.09";"BRB";"Vestuário"
"22/02/2026";"CARTERS (2/5)";"-975.93";"BRB";"Vestuário"
"13/03/2026";"PERDOMO DOCES";"-52.99";"BRB";"Restaurante"
"14/03/2026";"CIATOY BRINQUEDOS LTDA";"-20";"BRB";"Lazer"
"14/03/2026";"EC *SHELLBOX";"-228.17";"BRB";"Transporte"
"15/03/2026";"CAFE E UM CHERO";"-53.35";"BRB";"Restaurante"
"15/03/2026";"VMR COM DE JORNAIS";"-16";"BRB";"Lazer"
"20/03/2026";"MARIETTA";"-74.06";"BRB";"Outros"
"22/03/2026";"CIATOY BRINQUEDOS LTDA";"-179";"BRB";"Lazer"
"22/03/2026";"NATURA PAY*NA - TERRAC";"-74.91";"BRB";"Saúde"
"25/03/2026";"BRADESCO AUT*08DE10";"-307.61";"BRB";"Outros"
"02/04/2026";"NOTTE DINCANTO";"-120.50";"BRB";"Restaurante"
"02/04/2026";"GAZELA (1/4)";"-422.50";"BRB";"Outros"
"03/04/2026";"ATACADAO DIA A DIA";"-196.51";"BRB";"Supermercado"
"03/04/2026";"ICA*ICASEI PRESENTES";"-851.89";"BRB";"Outros"
"03/04/2026";"DROGASIL 1368";"-97.50";"BRB";"Saúde"
"03/04/2026";"ATACADAO DROGACENTER EX";"-68.97";"BRB";"Saúde"
"04/04/2026";"DROGARIA_SP DROGARIASPACH";"-102.89";"BRB";"Saúde"
"04/04/2026";"EBN *SPOTIFY";"-40.90";"BRB";"Lazer"
"04/04/2026";"COCO BAMBU LAGO S";"-149.22";"BRB";"Restaurante"
"05/04/2026";"BIG BOX";"-42.65";"BRB";"Supermercado"
"05/04/2026";"TERMINAL DE BRASILIA";"-9.18";"BRB";"Viagem"
"05/04/2026";"ASSB COMERCIO VAR";"-79.99";"BRB";"Outros"
"05/04/2026";"TERMINAL DE BRASILIA";"-9.35";"BRB";"Transporte"
"05/04/2026";"MP *DOGSUDOESTE";"-85";"BRB";"Restaurante"
"05/04/2026";"BIG BOX";"-25.80";"BRB";"Supermercado"
"07/04/2026";"DL *UBER*RIDES";"-8.98";"BRB";"Transporte"
"08/04/2026";"DL *UBER*RIDES";"-18.95";"BRB";"Transporte"
"08/04/2026";"DL *UBER*RIDES";"-14.97";"BRB";"Transporte"
"08/04/2026";"DL *UBER*RIDES";"-15.99";"BRB";"Transporte"
"09/04/2026";"BIG BOX";"-185.75";"BRB";"Outros"
"09/04/2026";"APPLECOMBILL";"-19.90";"BRB";"Serviços"
"10/04/2026";"DL *UBER*RIDES";"-18.99";"BRB";"Transporte"
