"Data";"Descrição";"Valor";"Conta";"Categoria"
"17/02/2026";"ARISTO (2/3)";"-291.42";"BRB";"Outros"
"16/03/2026";"WWW.PERPLEXITY.AI (2/3)";"-0.76";"BRB";"Serviços"
"16/03/2026";"WWW.PERPLEXITY.AI (2/3)";"-0.96";"BRB";"Serviços"
"17/03/2026";"PRUDENT*APOL001495366 (2/3)";"-342.97";"BRB";"Serviços"
"18/03/2026";"WWW.PERPLEXITY.AI (2/3)";"-0.95";"BRB";"Serviços"
"18/03/2026";"WWW.PERPLEXITY.AI (2/3)";"-0.57";"BRB";"Serviços"
"18/03/2026";"WWW.PERPLEXITY.AI (2/3)";"-1.14";"BRB";"Serviços"
"19/03/2026";"WWW.PERPLEXITY.AI (2/3)";"-0.95";"BRB";"Serviços"
"19/03/2026";"WWW.PERPLEXITY.AI (2/3)";"-1.90";"BRB";"Serviços"
"19/03/2026";"AMAZONMKTPLC*SAMUELBOR (2/3)";"-279.90";"BRB";"Outros"
"19/03/2026";"WWW.PERPLEXITY.AI (2/3)";"-1.90";"BRB";"Serviços"
"19/03/2026";"WWW.PERPLEXITY.AI (2/3)";"-0.95";"BRB";"Serviços"
"19/03/2026";"WWW.PERPLEXITY.AI (2/3)";"-0.95";"BRB";"Serviços"
"22/03/2026";"AMAZON BR (2/3)";"-89.99";"BRB";"Outros"
"22/03/2026";"AMAZONMKTPLC*VIDROEDEC (2/3)";"-39.99";"BRB";"Casa"
"26/03/2026";"CONTA VIVO (2/3)";"-380";"BRB";"Serviços"
"26/03/2026";"DL*GOOGLE GOOGLE (2/3)";"-96.99";"BRB";"Lazer"
"27/03/2026";"IFD*BR (2/3)";"-54.89";"BRB";"Restaurante"
"29/03/2026";"EC *SHELLBOX (2/3)";"-222.35";"BRB";"Transporte"
"30/03/2026";"NOTION LABS, INC. (1/2)";"-4.58";"BRB";"Serviços"
"30/03/2026";"ARAMIS OUTLET BRASILIA (2/3)";"-552.01";"BRB";"Vestuário"
"31/03/2026";"OPENAI *CHATGPT SUBSCR (2/3)";"-11.78";"BRB";"Serviços"
"01/04/2026";"DL*GOOGLE CLOUD (2/3)";"-118.97";"BRB";"Serviços"
"04/04/2026";"DL*GOOGLE CLOUD (2/3)";"-200";"BRB";"Serviços"
"06/04/2026";"DL*GOOGLE CLOUD (2/3)";"-500";"BRB";"Serviços"
"07/04/2026";"DL*GOOGLE CLOUD (2/3)";"-1000";"BRB";"Serviços"
"16/03/2026";"WWW.PERPLEXITY.AI US$ 4,00 R$ 5,4636 (2/3)";"-21.85";"BRB";"Serviços"
"16/03/2026";"WWW.PERPLEXITY.AI US$ 5,00 R$ 5,4636 (2/3)";"-27.32";"BRB";"Serviços"
"18/03/2026";"WWW.PERPLEXITY.AI US$ 5,00 R$ 5,4097 (2/3)";"-27.05";"BRB";"Serviços"
"18/03/2026";"WWW.PERPLEXITY.AI US$ 6,00 R$ 5,4097 (2/3)";"-32.46";"BRB";"Serviços"
"18/03/2026";"WWW.PERPLEXITY.AI US$ 3,00 R$ 5,4097 (2/3)";"-16.23";"BRB";"Serviços"
"19/03/2026";"WWW.PERPLEXITY.AI US$ 10,00 R$ 5,4190 (2/3)";"-54.19";"BRB";"Serviços"
"19/03/2026";"WWW.PERPLEXITY.AI US$ 5,00 R$ 5,4190 (2/3)";"-27.10";"BRB";"Serviços"
"19/03/2026";"WWW.PERPLEXITY.AI US$ 10,00 R$ 5,4190 (2/3)";"-54.19";"BRB";"Serviços"
"19/03/2026";"WWW.PERPLEXITY.AI US$ 5,00 R$ 5,4190 (2/3)";"-27.10";"BRB";"Serviços"
"19/03/2026";"WWW.PERPLEXITY.AI US$ 5,00 R$ 5,4190 (2/3)";"-27.10";"BRB";"Serviços"
"30/03/2026";"NOTION LABS, INC. US$ 24,00 R$ 5,4465 (2/3)";"-130.72";"BRB";"Serviços"
"31/03/2026";"OPENAI *CHATGPT SUBSCR US$ 61,82 R$ 5,4441 (4/12)";"-336.55";"BRB";"Serviços"
