"Data";"Descrição";"Valor";"Conta";"Categoria"
"22/05/2025";"VINDI *INVESTIDOR10 (10/12)";"-19.90";"BRB";"Educação"
"09/10/2025";"LIBERTY PRODUTOS OPTI (6/10)";"-89";"BRB";"Saúde"
"16/11/2025";"HERING STORE AGUAS CLA (4/4)";"-122.48";"BRB";"Vestuário"
"28/11/2025";"LOCALIZA (4/6)";"-247.14";"BRB";"Viagem"
"19/12/2025";"ACCV CALCADOS LTDA (3/5)";"-79.96";"BRB";"Vestuário"
"22/01/2026";"RAIA3161 (2/3)";"-138.74";"BRB";"Saúde"
"12/02/2026";"EMPORIO JARDIM (3/6)";"-26.40";"BRB";"Supermercado"
"13/02/2026";"23951771MATHEUS (3/6)";"-13.16";"BRB";"Outros"
"14/02/2026";"EBN*SPOTIFY (3/6)";"-40.90";"BRB";"Lazer"
"14/02/2026";"MAWE ACAITERIA (3/6)";"-30.90";"BRB";"Restaurante"
"15/02/2026";"UBER * PENDING (3/6)";"-15.94";"BRB";"Transporte"
"16/02/2026";"KFC SHOP IGUATEMI (3/6)";"-64.70";"BRB";"Restaurante"
"18/02/2026";"CAPPTA *R&L COMERCIO D (3/6)";"-7";"BRB";"Outros"
"19/02/2026";"EMPORIO JARDIM (3/6)";"-25.40";"BRB";"Supermercado"
"19/02/2026";"SITIO VERDE HORTFRUTI (3/6)";"-117.62";"BRB";"Supermercado"
"20/02/2026";"CVS (3/6)";"-35.28";"BRB";"Saúde"
"20/02/2026";"EMPORIO JARDIM (3/6)";"-16.90";"BRB";"Supermercado"
"21/02/2026";"SAPOREACAI (3/6)";"-21.50";"BRB";"Restaurante"
"21/02/2026";"MP *ANAPAULADOSSA (3/6)";"-22";"BRB";"Outros"
"22/02/2026";"CVS (3/6)";"-82.60";"BRB";"Saúde"
"22/02/2026";"NATUH ALIMENTOS SAUDAVE (3/6)";"-61.60";"BRB";"Supermercado"
"23/02/2026";"SITIO VERDE HORTFRUTI (3/6)";"-46.89";"BRB";"Supermercado"
"24/02/2026";"BROWOLF BARBEARIA (3/6)";"-55";"BRB";"Serviços"
"24/02/2026";"MD FRIOS E LATICINIO (3/6)";"-27.33";"BRB";"Supermercado"
"25/02/2026";"IFD*IFOOD (3/6)";"-7.95";"BRB";"Restaurante"
"27/02/2026";"CREMAGE STA CLARA (3/6)";"-24";"BRB";"Restaurante"
"27/02/2026";"SITIO VERDE HORTFRUTI (3/6)";"-83.60";"BRB";"Supermercado"
"27/02/2026";"COMERCIO DE MILHO VERD (3/6)";"-26";"BRB";"Supermercado"
"02/03/2026";"EMPORIO JARDIM (3/6)";"-25.40";"BRB";"Supermercado"
"02/03/2026";"CVS (3/6)";"-130.51";"BRB";"Saúde"
"04/03/2026";"RAIA93 (3/6)";"-51.11";"BRB";"Saúde"
"04/03/2026";"AUTO POSTO CATAVENTO LI (3/6)";"-177.27";"BRB";"Transporte"
"04/03/2026";"IFD*TOTEM RJR GELATERI (3/6)";"-34";"BRB";"Restaurante"
"05/03/2026";"SITIO VERDE HORTFRUTI (3/6)";"-101.21";"BRB";"Supermercado"
"05/03/2026";"CVS (3/6)";"-60.67";"BRB";"Saúde"
"05/03/2026";"D E G COMERCIO DE (3/6)";"-115.96";"BRB";"Outros"
"07/03/2026";"DUDAPROD (3/6)";"-25";"BRB";"Serviços"
"08/03/2026";"PADARIA PAO DE QUEIJO (3/6)";"-22.28";"BRB";"Restaurante"
"08/03/2026";"DUDAPROD (3/6)";"-61";"BRB";"Serviços"
"08/03/2026";"MAWE ACAITERIA (3/6)";"-32.60";"BRB";"Restaurante"
"10/03/2026";"SITIO VERDE HORTFRUTI (3/6)";"-91.27";"BRB";"Supermercado"
"12/03/2026";"MD FRIOS E LATICINIO (3/6)";"-45.73";"BRB";"Supermercado"
