"Data";"Descrição";"Valor";"Conta";"Categoria"
"14/02/2026";"WWW.PERPLEXITY.AI (1/12)";"-0.56";"BRB";"Serviços"
"17/02/2026";"ARISTO";"-291.42";"BRB";"Outros"
"17/02/2026";"AMAZONMKTPLC*FAMIVITAC";"-142.89";"BRB";"Saúde"
"17/02/2026";"AMAZON BR";"-104.37";"BRB";"Outros"
"18/02/2026";"WWW.PERPLEXITY.AI";"-0.57";"BRB";"Serviços"
"19/02/2026";"WWW.PERPLEXITY.AI";"-0.57";"BRB";"Serviços"
"19/02/2026";"WWW.PERPLEXITY.AI";"-0.95";"BRB";"Serviços"
"19/02/2026";"WWW.PERPLEXITY.AI";"-1.91";"BRB";"Serviços"
"19/02/2026";"PRUDENTIAL D*APOL00149536";"-342.97";"BRB";"Serviços"
"19/02/2026";"WWW.PERPLEXITY.AI";"-5.33";"BRB";"Serviços"
"19/02/2026";"WWW.PERPLEXITY.AI";"-1.52";"BRB";"Serviços"
"20/02/2026";"AMAZON BR";"-139.90";"BRB";"Outros"
"21/02/2026";"EC *SHELLBOX";"-243.55";"BRB";"Transporte"
"24/02/2026";"WWW.PERPLEXITY.AI";"-1.32";"BRB";"Serviços"
"25/02/2026";"UBER * PENDING";"-20.94";"BRB";"Transporte"
"26/02/2026";"CONTA VIVO";"-380";"BRB";"Serviços"
"26/02/2026";"DL*GOOGLE GOOGLE";"-96.99";"BRB";"Lazer"
"28/02/2026";"NOTION LABS, INC.";"-4.49";"BRB";"Serviços"
"28/02/2026";"AMAZONMKTPLC*BKSCOMERC";"-135.90";"BRB";"Lazer"
"01/03/2026";"AMAZONMKTPLC*OFFSHOPLT";"-78.90";"BRB";"Outros"
"01/03/2026";"AMAZONMKTPLC*CLICANDOV";"-66.90";"BRB";"Outros"
"02/03/2026";"WWW.PERPLEXITY.AI";"-1.87";"BRB";"Serviços"
"05/03/2026";"UBER* PENDING";"-24.94";"BRB";"Transporte"
"08/03/2026";"AMAZON BR";"-204.57";"BRB";"Outros"
"14/02/2026";"WWW.PERPLEXITY.AI US$ 3,00 R$ 5,3735";"-16.12";"BRB";"Serviços"
"18/02/2026";"WWW.PERPLEXITY.AI US$ 3,00 R$ 5,4437";"-16.33";"BRB";"Serviços"
"19/02/2026";"WWW.PERPLEXITY.AI US$ 3,00 R$ 5,4437";"-16.33";"BRB";"Serviços"
"19/02/2026";"WWW.PERPLEXITY.AI US$ 10,00 R$ 5,4437";"-54.44";"BRB";"Serviços"
"19/02/2026";"WWW.PERPLEXITY.AI US$ 8,00 R$ 5,4437";"-43.55";"BRB";"Serviços"
"19/02/2026";"WWW.PERPLEXITY.AI US$ 5,00 R$ 5,4437";"-27.22";"BRB";"Serviços"
"19/02/2026";"WWW.PERPLEXITY.AI US$ 28,00 R$ 5,4437";"-152.42";"BRB";"Serviços"
"24/02/2026";"WWW.PERPLEXITY.AI US$ 7,00 R$ 5,3694";"-37.59";"BRB";"Serviços"
"28/02/2026";"NOTION LABS, INC. US$ 24,00 R$ 5,3431";"-128.23";"BRB";"Serviços"
"02/03/2026";"WWW.PERPLEXITY.AI US$ 10,00 R$ 5,3549 (3/12)";"-53.55";"BRB";"Serviços"
